order_id	product_id	product_name	vendor_id	nombre_proveedor	option_id	quantity	shipping_fee	tax 	total_cost	order_date	delivery_date	ship_name 	ship_address 	tracking_number	delivery_status
1003	1900	ESC8000 G3	5300	Asus 	1901	1	 $20.00 	 $0.06 	 $70.98 	12/10/2018	15/10/2018	Irene Everly 	"1756 East Dr, Houston, TX 28562"	KB63001 	0
1003	1900	ESC8000 G3	5300	Asus 	1902	2	 $20.00 	 $0.06 	 $70.98 	12/10/2018	15/10/2018	Irene Everly 	"1756 East Dr, Houston, TX 28562"	KB63001 	0
1004	2000	ESC8000 G4	5300	Asus 	2001	2	 $7.00 	 $0.06 	 $30.45 	16/10/2018	19/10/2018	Rachel Rose	"1465 River Dr, Boston, MA 43625 "	IK64001 	1
1004	2000	ESC8000 G4	5300	Asus 	2002	3	 $7.00 	 $0.06 	 $30.45 	16/10/2018	19/10/2018	Rachel Rose	"1465 River Dr, Boston, MA 43625 "	IK64001 	1
1004	2100	XPS 13 - 5080	5400	Dell 	2101	1	 $7.00 	 $0.06 	 $30.45 	16/10/2018	19/10/2018	Rachel Rose	"1465 River Dr, Boston, MA 43625 "	IK64001 	1
1004	2100	XPS 13 - 5080	5400	Dell 	2102	3	 $7.00 	 $0.06 	 $30.45 	16/10/2018	19/10/2018	Rachel Rose	"1465 River Dr, Boston, MA 43625 "	IK64001 	1
1004	2200	XPS 15 - 5070	5400	Dell 	2201	2	 $7.00 	 $0.06 	 $30.45 	16/10/2018	19/10/2018	Rachel Rose	"1465 River Dr, Boston, MA 43625 "	IK64001 	1
1004	2200	XPS 15 - 5070	5400	Dell 	2202	3	 $7.00 	 $0.06 	 $30.45 	16/10/2018	19/10/2018	Rachel Rose	"1465 River Dr, Boston, MA 43625 "	IK64001 	1
1005	2300	Monoprice Ultra Slim Series High Speed HDMI Cable	5500	Monoprice 	2301	1	 $8.00 	 $0.06 	 $100.20 	13/10/2018	16/10/2018	Sophie Sutton	"1896 West Dr, Portland, OR 65842"	OP65001 	0
1005	2300	Monoprice Ultra Slim Series High Speed HDMI Cable	5500	Monoprice 	2302	1	 $8.00 	 $0.06 	 $100.20 	13/10/2018	16/10/2018	Sophie Sutton	"1896 West Dr, Portland, OR 65842"	OP65001 	0
1005	2400	Monoprice Ultra Slim Series High Speed HDMI Cable - 4K	5500	Monoprice 	2401	3	 $8.00 	 $0.06 	 $100.20 	13/10/2018	16/10/2018	Sophie Sutton	"1896 West Dr, Portland, OR 65842"	OP65001 	0
1006	2400	Monoprice Ultra Slim Series High Speed HDMI Cable - 4K	5500	Monoprice 	2402	2	 $5.00 	 $0.10 	 $58.52 	21/10/2018	24/10/2018	Wendy West	"1252 Vine St, Chicago, IL 73215"	XH66001 	1
1006	2500	Avantree HT3189 Wireless Headphones	5600	Sony 	2501	3	 $5.00 	 $0.10 	 $58.52 	21/10/2018	24/10/2018	Wendy West	"1252 Vine St, Chicago, IL 73215"	XH66001 	1
1006	2500	Avantree HT3189 Wireless Headphones	5600	Sony 	2502	1	 $5.00 	 $0.10 	 $58.52 	21/10/2018	24/10/2018	Wendy West	"1252 Vine St, Chicago, IL 73215"	XH66001 	1
1006	2600	COWIN E7 PRO	5600	Sony 	2601	2	 $5.00 	 $0.10 	 $58.52 	21/10/2018	24/10/2018	Wendy West	"1252 Vine St, Chicago, IL 73215"	XH66001 	1
1006	2600	COWIN E7 PRO	5600	Sony 	2602	1	 $5.00 	 $0.10 	 $58.52 	21/10/2018	24/10/2018	Wendy West	"1252 Vine St, Chicago, IL 73215"	XH66001 	1
															
															
															
															
															
															
